"X",   "Y", "Z"
-1.5 ,   0.0,  1.04
-1.0 ,   0.0,  1.03
-0.5 ,   0.0,  1.02
 0.0 ,   0.0,  1.01
 0.5 ,   0.0,  1.00
 1.0 ,   0.0,  1.01
 1.5 ,   0.0,  1.02
-1.5 ,   0.5,  1.02
-1.0 ,   0.5,  1.01
-0.5 ,   0.5,  1.09
 0.0 ,   0.5,  1.02
 0.5 ,   0.5,  1.06
 1.0 ,   0.5,  1.02
 1.5 ,   0.5,  1.03
-1.5 ,   1.0,  1.07
-1.0 ,   1.0,  1.01
-0.5 ,   1.0,  1.06
 0.0 ,   1.0,  1.02
 0.5 ,   1.0,  1.06
 1.0 ,   1.0,  1.01
 1.5 ,   1.0,  1.05
-1.5 ,   1.5,  1.03
-1.0 ,   1.5,  1.01
-0.5 ,   1.5,  1.08
 0.0 ,   1.5,  1.06
 0.5 ,   1.5,  1.07
 1.0 ,   1.5,  1.08
 1.5 ,   1.5,  1.09
